index,scene_id,method,selection_signature,pose_reused,matches,inliers,inlier_ratio,epi_precision_1px,epi_precision_3px,rotation_error_deg,translation_error_deg,pose_error_deg,selection_ms,pose_ms,selector_target_ratio,selector_target_matches,selector_selected_matches,selector_mean_confidence,selector_coverage0,selector_coverage1,selector_selected_coverage0,selector_selected_coverage1,selector_rescued
2,scene0707_00,Random-95%-seed41,70444b8d82f4cc0a,False,130,78,0.6,0.007692307692307693,0.023076923076923078,3.7918538306036678,9.801472763531672,9.801472763531672,0.02169999061152339,5.938799993600696,,,,,,,,,
2,scene0707_00,Grid-RR,20dc89ed113bf85b,False,130,80,0.6153846153846154,0.0,0.015384615384615385,3.785055742263338,9.797036388145505,9.797036388145505,0.14990000636316836,5.415000021457672,,,,,,,,,
2,scene0707_00,4D-ANMS,e55852caf0ec9dfa,False,130,80,0.6153846153846154,0.007692307692307693,0.023076923076923078,3.933657269478121,10.053000226346542,10.053000226346542,1.359499990940094,4.877799976384267,,,,,,,,,
2,scene0707_00,Unconditional Spatial,e0243bd039235111,True,130,83,0.6384615384615384,0.007692307692307693,0.023076923076923078,4.262161095067793,10.63016599224315,10.63016599224315,0.16039999900385737,0.0,,,,,,,,,
2,scene0707_00,Single-View Conditional,e0243bd039235111,True,130,83,0.6384615384615384,0.007692307692307693,0.023076923076923078,4.262161095067793,10.63016599224315,10.63016599224315,0.1109000004362315,0.0,,,,,,,,,
2,scene0707_00,CSMR,e0243bd039235111,True,130,83,0.6384615384615384,0.007692307692307693,0.023076923076923078,4.262161095067793,10.63016599224315,10.63016599224315,0.08629998774267733,0.0,0.95,130,130,0.8151619882479201,0.375,0.4375,0.375,0.4375,0
3,scene0707_00,All,02355bcbffb35290,False,255,148,0.5803921568627451,0.17254901960784313,0.6313725490196078,0.678463010487721,0.542848903393219,0.678463010487721,0.0,8.630500000435859,,,,,,,,,
3,scene0707_00,Top-95%,f861f1dd26cc2b74,False,242,145,0.5991735537190083,0.16115702479338842,0.628099173553719,0.6749151652599377,0.5793921703028748,0.6749151652599377,0.042100000428035855,8.601500012446195,,,,,,,,,
3,scene0707_00,Random-95%-seed17,d9e4305fb424b60e,False,242,141,0.5826446280991735,0.17768595041322313,0.628099173553719,0.6776009715316954,0.5177224023722898,0.6776009715316954,0.0740000104997307,7.19470001058653,,,,,,,,,
3,scene0707_00,Random-95%-seed29,6c39ccd6bbef66e3,False,242,140,0.5785123966942148,0.17355371900826447,0.6322314049586777,0.7087090655495396,0.5607809928932548,0.7087090655495396,0.030800001695752144,7.807199988747016,,,,,,,,,
