index,scene_id,method,matches,inliers,inlier_ratio,epi_precision_1px,epi_precision_3px,rotation_error_deg,translation_error_deg,pose_error_deg,selection_ms,pose_ms
45,0015_0,anms_4d,785,430,0.5477707006369427,0.5337579617834395,0.9019108280254777,0.2689063507268486,5.607154298989235,5.607154298989235,14.943799993488938,38.08639995986596
46,0015_0,grid_round_robin,951,532,0.5594111461619348,0.5678233438485805,0.9379600420609885,0.2676902197805426,1.8482106945250187,1.8482106945250187,0.7112000021152198,68.22299998020753
46,0015_0,anms_4d,951,525,0.5520504731861199,0.5615141955835962,0.92534174553102,0.14989764581103088,1.1908627201742368,1.1908627201742368,19.553599995560944,82.262699957937
47,0015_0,grid_round_robin,580,310,0.5344827586206896,0.4810344827586207,0.9137931034482759,1.5947934988428965,2.6461227424070852,2.6461227424070852,0.5473000346682966,48.53839997667819
47,0015_0,anms_4d,580,306,0.5275862068965518,0.4706896551724138,0.903448275862069,1.440039749685207,2.34428529996923,2.34428529996923,9.912300040014088,39.62559998035431
48,0015_0,grid_round_robin,146,78,0.5342465753424658,0.4931506849315068,0.8835616438356164,0.24159443169459918,1.8354957560000693,1.8354957560000693,0.22250000620260835,19.397699972614646
48,0015_0,anms_4d,146,78,0.5342465753424658,0.4726027397260274,0.8835616438356164,0.06868244527663518,1.627010569848652,1.627010569848652,1.9534000311978161,18.735799996647984
49,0015_0,grid_round_robin,617,433,0.7017828200972447,0.6580226904376013,0.9578606158833063,0.31202212523907386,0.6745942951359475,0.6745942951359475,0.5376000190153718,27.07769995322451
49,0015_0,anms_4d,617,422,0.6839546191247974,0.6418152350081038,0.940032414910859,0.3900393031126021,0.9612282751285716,0.9612282751285716,11.157700035255402,20.258600008673966
50,0015_0,grid_round_robin,557,295,0.5296229802513465,0.5170556552962298,0.9048473967684022,0.12348512605963664,0.20574133791995852,0.20574133791995852,0.49649999709799886,46.05559998890385
50,0015_0,anms_4d,557,284,0.5098743267504489,0.5008976660682226,0.8833034111310593,0.24915992824075683,0.7916456540939916,0.7916456540939916,9.151500009465963,48.22159995092079
51,0015_0,grid_round_robin,649,395,0.6086286594761171,0.5993836671802774,0.9506933744221879,0.11863227269666123,0.7828250286624749,0.7828250286624749,0.57640002341941,28.873100003693253
51,0015_0,anms_4d,649,393,0.6055469953775039,0.5947611710323575,0.9414483821263482,0.36914318124133316,3.3404723885981538,3.3404723885981538,11.615300027187914,36.12389997579157
52,0015_0,grid_round_robin,825,486,0.5890909090909091,0.52,0.9442424242424242,0.5373560497397744,0.7302647418022753,0.7302647418022753,0.5979000125080347,36.10929998103529
52,0015_0,anms_4d,825,493,0.5975757575757575,0.526060606060606,0.9418181818181818,0.5901049931328369,0.8003905978969944,0.8003905978969944,17.27860001847148,36.034999997355044
53,0015_0,grid_round_robin,719,487,0.6773296244784422,0.6356050069541029,0.980528511821975,0.4792244287372788,1.5478143434268936,1.5478143434268936,0.58970000827685,32.7512999647297
53,0015_0,anms_4d,719,481,0.6689847009735744,0.6286509040333796,0.972183588317107,0.5022480873321529,1.586636269899416,1.586636269899416,15.309199981857091,31.369399977847934
54,0015_0,grid_round_robin,810,499,0.6160493827160494,0.6061728395061728,0.9641975308641976,0.08078034343060696,0.5998192968890175,0.5998192968890175,0.6488999933935702,47.8360999841243
54,0015_0,anms_4d,810,484,0.5975308641975309,0.5888888888888889,0.9617283950617284,0.12351272008424302,1.2103329043835003,1.2103329043835003,15.72279998799786,50.61799997929484
55,0015_0,grid_round_robin,657,387,0.589041095890411,0.5342465753424658,0.9345509893455098,0.15049033743653745,3.135524238247815,3.135524238247815,0.5685000214725733,27.783299970906228
55,0015_0,anms_4d,657,363,0.5525114155251142,0.517503805175038,0.9269406392694064,0.10565979843575497,2.2421173303593953,2.2421173303593953,11.856900004204363,42.89529996458441
56,0015_0,grid_round_robin,651,360,0.5529953917050692,0.5299539170506913,0.9216589861751152,0.2824583160855913,4.8007153791901835,4.8007153791901835,0.5094000371173024,49.03679998824373
